,Dimension,TagSet,hasSynonym
448,Point>Sensor>Temperature Sensor>Zone Temperature Sensor,Highest Zone Temperature Sensor,Warmest Zone Temperature Sensor
449,Point>Sensor>Temperature Sensor>Zone Temperature Sensor,Lowest Zone Temperature Sensor,Coldest Zone Temperature Sensor
450,Point>Sensor>Timer Sensor,On Timer Sensor,
451,Point>Sensor>Torque Sensor,Motor Torque Sensor,
452,Point>Sensor>Voltage Sensor,Battery Voltage Sensor,
453,Point>Sensor>Voltage Sensor,DC Bus Voltage Sensor,
454,Point>Sensor>Voltage Sensor,Heat Wheel Voltage Sensor,
455,Point>Sensor>Voltage Sensor,Output Voltage Sensor,
456,Point>Sensor>Water Level Sensor,Deionised Water Level Sensor,DI Water Level Sensor
457,Point>Setpoint,Acceleration Time Setpoint,
458,Point>Setpoint,Alarm Delay Setpoint,
459,Point>Setpoint,Current Limit Setpoint,
460,Point>Setpoint,Deceleration Time Setpoint,
461,Point>Setpoint,High Humidity Alarm Setpoint,
462,Point>Setpoint,High Temperature Alarm Setpoint,
463,Point>Setpoint,Humidity Setpoint,
464,Point>Setpoint,Rated Speed Setpoint,
465,Point>Setpoint,Temperature Setpoint,
466,Point>Setpoint,Zone Temperature Setpoint,
467,Point>Setpoint,Min Fresh Air Setpoint,
468,Point>Setpoint>Air Flow Setpoint,Ventilation Air Flow Ratio Limit Setpoint,
469,Point>Setpoint>Alarm Delay Setpoint,Pump Alarm Delay Setpoint,
470,Point>Setpoint>Alarm Delay Setpoint>Pump Alarm Delay Setpoint,Chilled Water Pump Alarm Delay Setpoint,
471,Point>Sensor,Capacity Sensor,
472,Point>Setpoint>CO2 Setpoint>Return Air CO2 Setpoint,Max Return Air CO2 Setpoint,
473,Point>Setpoint>Damper Position Setpoint,Economizer Damper Min Position Setpoint,
474,Point>Setpoint>Damper Position Setpoint,Outside Air Damper Close Limit Setpoint,
475,Point>Setpoint>Damper Position Setpoint,Outside Air Damper Min Position Setpoint,
476,Point>Setpoint>Damper Position Setpoint,Supply Air Damper Max Position Setpoint,Discharge Air Damper Max Position Setpoint
477,Point>Setpoint>Dead Band Setpoint,Chilled Water Differential Pressure Dead Band Setpoint,
478,Point>Setpoint>Dead Band Setpoint>Differential Pressure Dead Band Setpoint,Chilled Water Pump Differential Pressure Dead Band Setpoint,
479,Point>Setpoint>Dead Band Setpoint>Differential Pressure Dead Band Setpoint,Hot Water Differential Pressure Dead Band Setpoint,
480,Point>Setpoint>Dead Band Setpoint,Cooling Discharge Air Temperature Dead Band Setpoint,Cooling Supply Air Temperature Dead Band Setpoint
481,Point>Setpoint>Dead Band Setpoint,Economizer Discharge Air Temperature Dead Band Setpoint,Economizer Supply Air Temperature Dead Band Setpoint
482,Point>Setpoint>Dead Band Setpoint,Heating Discharge Air Temperature Dead Band Setpoint,Heating Supply Air Temperature Dead Band Setpoint
483,Point>Setpoint>Dead Band Setpoint>Exhaust Air Flow Dead Band Setpoint,Exhaust Air Stack Flow Dead Band Setpoint,
484,Point>Setpoint>Dead Band Setpoint>Static Pressure Dead Band Setpoint,Discharge Air Static Pressure Dead Band Setpoint,Supply Air Static Pressure Dead Band Setpoint
485,Point>Setpoint>Dead Band Setpoint>Static Pressure Dead Band Setpoint,Exhaust Air Static Pressure Dead Band Setpoint,
486,Point>Setpoint>Dead Band Setpoint>Supply Water Differential Pressure Dead Band Setpoint,Thermal Energy Storage Supply Water Differential Pressure Dead Band Setpoint,Thermal Energy Storage Discharge Water Differential Pressure Dead Band Setpoint
487,Point>Setpoint>Dead Band Setpoint>Supply Water Temperature Dead Band Setpoint,Heat Exchanger Supply Water Temperature Dead Band Setpoint,Heat Exchanger Discharge Water Temperature Dead Band Setpoint
488,Point>Setpoint>Dead Band Setpoint>Zone Cooling Temperature Dead Band Setpoint,Occupied Cooling Temperature Dead Band Setpoint,
489,Point>Setpoint>Dead Band Setpoint>Zone Heating Temperature Dead Band Setpoint,Occupied Heating Temperature Dead Band Setpoint,
490,Point>Setpoint>Demand Setpoint,Cooling Demand Setpoint,Cooling Request Setpoint
491,Point>Setpoint>Demand Setpoint,Cooling Request Setpoint,
492,Point>Setpoint>Demand Setpoint,Cooling Request Percent Setpoint,
493,Point>Setpoint>Demand Setpoint,Discharge Air Flow Demand Setpoint,Supply Air Flow Demand Setpoint
494,Point>Setpoint>Demand Setpoint,Heating Request Percent Setpoint,
495,Point>Setpoint>Demand Setpoint,Heating Request Setpoint,
496,Point>Setpoint>Demand Setpoint,Heating Demand Setpoint,Heating Request Setpoint
497,Point>Setpoint>Demand Setpoint,Preheat Demand Setpoint,
498,Point>Setpoint>Dew Point Setpoint>Economizer Dewpoint Setpoint,Economizer Disable Fixed Dewpoint Setpoint,
499,Point>Setpoint>Dew Point Setpoint>Economizer Dewpoint Setpoint,Economizer Enable Fixed Dewpoint Setpoint,
500,Point>Setpoint>Enthalpy Setpoint>Economizer Enthalpy Setpoint,Economizer Disable Differential Enthalpy Setpoint,
501,Point>Setpoint>Enthalpy Setpoint>Economizer Enthalpy Setpoint,Economizer Disable Fixed Enthalpy Setpoint,
502,Point>Setpoint>Enthalpy Setpoint>Economizer Enthalpy Setpoint,Economizer Enable Differential Enthalpy Setpoint,
503,Point>Setpoint>Enthalpy Setpoint>Economizer Enthalpy Setpoint,Economizer Enable Fixed Enthalpy Setpoint,
504,Point>Setpoint>Flow Setpoint>Air Flow Setpoint,Discharge Air Flow Setpoint,Supply Air Flow Setpoint
505,Point>Setpoint>Flow Setpoint>Air Flow Setpoint,Economizer Outside Air Flow Setpoint,
506,Point>Setpoint>Flow Setpoint>Air Flow Setpoint,Outside Min Air Flow Setpoint,
507,Point>Setpoint>Flow Setpoint>Air Flow Setpoint,Fan Air Flow Setpoint,
508,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Fan Air Flow Setpoint,Booster Fan Air Flow Setpoint,
509,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Fan Air Flow Setpoint,Exhaust Fan Air Flow Setpoint,
510,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint,Heating Discharge Air Flow Setpoint,Heating Supply Air Flow Setpoint
511,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Cooling Discharge Air Flow Setpoint,Cooling Max Discharge Air Flow Setpoint,Cooling Max Supply Air Flow Setpoint
512,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Cooling Discharge Air Flow Setpoint,Cooling Min Discharge Air Flow Setpoint,Cooling Min Supply Air Flow Setpoint
513,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Cooling Discharge Air Flow Setpoint,Occupied Cooling Discharge Air Flow Setpoint,Occupied Cooling Supply Air Flow Setpoint
514,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Cooling Discharge Air Flow Setpoint,Unoccupied Cooling Discharge Air Flow Setpoint,Unoccupied Cooling Supply Air Flow Setpoint
515,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Cooling Discharge Air Flow Setpoint>Occupied Cooling Discharge Air Flow Setpoint,Occupied Cooling Max Discharge Air Flow Setpoint,Occupied Cooling Max Supply Air Flow Setpoint
516,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Cooling Discharge Air Flow Setpoint>Occupied Cooling Discharge Air Flow Setpoint,Occupied Cooling Min Discharge Air Flow Setpoint,Occupied Cooling Min Supply Air Flow Setpoint
517,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Heating Discharge Air Flow Setpoint,Heating Max Discharge Air Flow Setpoint,Heating Max Supply Air Flow Setpoint
518,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Heating Discharge Air Flow Setpoint,Heating Min Discharge Air Flow Setpoint,Heating Min Supply Air Flow Setpoint
519,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Heating Discharge Air Flow Setpoint,Occupied Heating Discharge Air Flow Setpoint,Occupied Heating Supply Air Flow Setpoint
520,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Heating Discharge Air Flow Setpoint>Occupied Heating Discharge Air Flow Setpoint,Occupied Heating Max Discharge Air Flow Setpoint,Occupied Heating Max Supply Air Flow Setpoint
521,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Heating Discharge Air Flow Setpoint>Occupied Heating Discharge Air Flow Setpoint,Occupied Heating Min Discharge Air Flow Setpoint,Occupied Heating Min Supply Air Flow Setpoint
522,Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Exhaust Air Flow Setpoint,Exhaust Air Stack Flow Setpoint,
523,Point>Setpoint>Humidity Setpoint,Low Humidity Alarm Setpoint,
524,Point>Setpoint>Increase Decrease Step Setpoint,Chilled Water Differential Pressure Increase Decrease Step Setpoint,
525,Point>Setpoint>Increase Decrease Step Setpoint,Discharge Air Static Pressure Increase Decrease Step Setpoint,Supply Air Static Pressure Increase Decrease Step Setpoint
526,Point>Setpoint>Increase Decrease Step Setpoint,Discharge Air Temperature Setpoint Increase Decrease Step,Supply Air Temperature Setpoint Increase Decrease Step
527,Point>Setpoint>Integral Time Setpoint,Chilled Water Differential Pressure Integral Time Setpoint,
528,Point>Setpoint>Integral Gain Setpoint,Supply Air Integrative Gain Factor,
529,Point>Setpoint>Integral Time Setpoint,Discharge Air Static Pressure Integral Time Setpoint,Supply Air Static Pressure Integral Time Setpoint
530,Point>Setpoint>Integral Time Setpoint>Differential Pressure Integral Time,Chilled Water Pump Differential Pressure Integration Time Setpoint,
531,Point>Setpoint>Integral Time Setpoint>Differential Pressure Integral Time Setpoint,Hot Water Differential Pressure Integral Time Setpoint,
532,Point>Setpoint>Integral Time Setpoint,Cooling Discharge Air Temperature Integral Time Setpoint,Cooling Supply Air Temperature Integral Time Setpoint
533,Point>Setpoint>Integral Time Setpoint,Heating Discharge Air Temperature Integral Time Setpoint,Heating Supply Air Temperature Integral Time Setpoint
534,Point>Setpoint>Integral Time Setpoint>Exhaust Air Flow Integral Time Setpoint,Exhaust Air Stack Flow Integral Time Setpoint,
535,Point>Setpoint>Integral Time Setpoint>Static Pressure Integral Time Setpoint,Exhaust Air Static Pressure Integral Time Setpoint,
536,Point>Setpoint>Integral Time Setpoint>Supply Water Differential Pressure Integral Time Setpoint,Thermal Energy Storage Supply Water Differential Pressure Integral Time Setpoint,Thermal Energy Storage Discharge Water Differential Pressure Integral Time Setpoint
537,Point>Setpoint>Integral Time Setpoint>Supply Water Temperature Integral Time Setpoint,Heat Exchanger Supply Water Temperature Integral Time Setpoint,Heat Exchanger Discharge Water Temperature Integral Time Setpoint
538,Point>Setpoint>Load Setpoint>Max Load Setpoint,Chiller Max Load Setpoint,
539,Point>Setpoint>Mode Setpoint,DualBand Mode Setpoint,
540,Point>Setpoint>Mode Setpoint,Unoccupied Mode Setpoint,
541,Point>Setpoint>Pressure Setpoint>Differential Pressure Setpoint,Chilled Water Differential Pressure Setpoint,
542,Point>Setpoint>Pressure Setpoint>Differential Pressure Setpoint,Hot Water Differential Pressure Setpoint,
543,Point>Setpoint>Pressure Setpoint>Differential Pressure Setpoint>Chilled Water Differential Pressure Setpoint,Max Chilled Water Differential Pressure Setpoint,
544,Point>Setpoint>Pressure Setpoint>Differential Pressure Setpoint>Chilled Water Differential Pressure Setpoint,Min Chilled Water Differential Pressure Setpoint,
545,Point>Setpoint>Pressure Setpoint>Differential Pressure Setpoint>Load Shed Differential Pressure Setpoint,Chilled Water Differential Pressure Load Shed Setpoint,
546,Point>Setpoint>Pressure Setpoint>Differential Pressure Setpoint>Load Shed Differential Pressure Setpoint,Medium Temperature Hot Water Differential Pressure Load Shed Setpoint,
547,Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Building Static Pressure Setpoint,
548,Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Chilled Water Static Pressure Setpoint,
549,Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Discharge Air Static Pressure Setpoint,Supply Air Static Pressure Setpoint
550,Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Exhaust Air Static Pressure Setpoint,
551,Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,High Static Pressure Cutout Limit Setpoint,
552,Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Hot Water Static Pressure Setpoint,
553,Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Static Pressure Max Setpoint,
554,Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Static Pressure Min Setpoint,
555,Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint>Discharge Air Static Pressure Setpoint,Max Discharge Air Static Pressure Setpoint,Max Supply Air Static Pressure Setpoint
556,Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint>Discharge Air Static Pressure Setpoint,Min Discharge Air Static Pressure Setpoint,Min Supply Air Static Pressure Setpoint
557,Point>Setpoint>Pressure Setpoint,Velocity Pressure Setpoint,
558,Point>Setpoint>Proportional Band Setpoint,Chilled Water Differential Pressure Proportional Band Setpoint,
559,Point>Setpoint>Proportional Gain Setpoint,Supply Air Proportional Gain Factor,
560,Point>Setpoint>Proportional Band Setpoint,Discharge Air Static Pressure Proportional Band Setpoint,Supply Air Static Pressure Proportional Band Setpoint
561,Point>Setpoint>Proportional Band Setpoint>Differential Pressure Proportional Band,Chilled Water Pump Differential Pressure Proportional Band Setpoint,
562,Point>Setpoint>Proportional Band Setpoint>Differential Pressure Proportional Band Setpoint,Hot Water Differential Pressure Proportional Band Setpoint,
563,Point>Setpoint>Proportional Band Setpoint,Cooling Discharge Air Temperature Proportional Band Setpoint,Cooling Supply Air Temperature Proportional Band Setpoint
564,Point>Setpoint>Proportional Band Setpoint,Economizer Discharge Air Temperature Proportional Band Setpoint,Economizer Supply Air Temperature Proportional Band Setpoint
565,Point>Setpoint>Proportional Band Setpoint,Heating Discharge Air Temperature Proportional Band Setpoint,Heating Supply Air Temperature Proportional Band Setpoint
566,Point>Setpoint>Proportional Band Setpoint>Exhaust Air Flow Proportional Band Setpoint,Exhaust Air Stack Flow Proportional Band Setpoint,
567,Point>Setpoint>Proportional Band Setpoint>Static Pressure Proportional Band Setpoint,Exhaust Air Static Pressure Proportional Band Setpoint,
568,Point>Setpoint>Proportional Band Setpoint>Supply Water Differential Pressure Proportional Band Setpoint,Thermal Energy Storage Supply Water Differential Pressure Proportional Band Setpoint,Thermal Energy Storage Discharge Water Differential Pressure Proportional Band Setpoint
569,Point>Setpoint>Proportional Band Setpoint>Supply Water Temperature Proportional Band Setpoint,Heat Exchanger Supply Water Temperature Proportional Band Setpoint,Heat Exchanger Discharge Water Temperature Proportional Band Setpoint
570,Point>Setpoint>Reset Setpoint,Discharge Air Temperature Reset High Setpoint,Supply Air Temperature Reset High Setpoint
571,Point>Setpoint>Reset Setpoint,Discharge Air Temperature Reset Low Setpoint,Supply Air Temperature Reset Low Setpoint
572,Point>Setpoint>Reset Setpoint>Temperature Differential Reset Setpoint,Discharge Air Temperature Reset Differential Setpoint,Supply Air Temperature Reset Differential Setpoint
573,Point>Setpoint>Reset Setpoint>Temperature High Reset Setpoint,Outside Air Temperature High Reset Setpoint,
574,Point>Setpoint>Reset Setpoint>Temperature High Reset Setpoint>Hot Water Supply Temperature High Reset Setpoint,Medium Temperature Hot Water Supply Temperature High Reset Setpoint,Medium Temperature Hot Water Discharge Temperature High Reset Setpoint
575,Point>Setpoint>Reset Setpoint>Temperature Low Reset Setpoint,Outside Air Temperature Low Reset Setpoint,
576,Point>Setpoint>Reset Setpoint>Temperature Low Reset Setpoint>Hot Water Supply Temperature Low Reset Setpoint,Medium Temperature Hot Water Supply Temperature Low Reset Setpoint,Medium Temperature Hot Water Discharge Temperature Low Reset Setpoint
577,Point>Setpoint>Reset Setpoint>Discharge Air Flow Reset Setpoint,Discharge Air Flow Reset Low Setpoint,
578,Point>Setpoint>Reset Setpoint>Discharge Air Flow Reset Setpoint,Discharge Air Flow Reset High Setpoint,
579,Point>Setpoint>Speed Setpoint>Differential Speed Setpoint,Return Fan Differential Speed Setpoint,
580,Point>Setpoint>Speed Setpoint>Differential Speed Setpoint,Return Supply Fan Differential Speed Setpoint,Return Discharge Fan Differential Speed Setpoint
581,Point>Setpoint>Speed Setpoint>Fan Speed Setpoint,Cooling Tower Fan Speed Setpoint,
582,Point>Setpoint>Speed Setpoint>VFD Speed Setpoint,Max VFD Speed Setpoint,
583,Point>Setpoint>Speed Setpoint>VFD Speed Setpoint,Min VFD Speed Setpoint,
584,Point>Setpoint>Temperature Setpoint,Disable Hot Water System Outside Air Temperature Setpoint,
585,Point>Setpoint>Temperature Setpoint,Discharge Air Temperature Setpoint,Supply Air Temperature Setpoint
586,Point>Setpoint>Temperature Setpoint,Economizer Temperature Setpoint,
587,Point>Setpoint>Temperature Setpoint,Enable Hot Water System Outside Air Temperature Setpoint,
588,Point>Setpoint>Temperature Setpoint,Low Outside Air Temperature Enable Setpoint,
589,Point>Setpoint>Temperature Setpoint,Low Temperature Alarm Setpoint,
590,Point>Setpoint>Temperature Setpoint,Mixed Air Temperature Setpoint,
591,Point>Setpoint>Temperature Setpoint,Open Heating Valve Outside Air Temperature Setpoint,
592,Point>Setpoint>Temperature Setpoint,Outside Air Lockout Temperature Setpoint,
593,Point>Setpoint>Temperature Setpoint,Room Temperature Setpoint,
594,Point>Setpoint>Temperature Setpoint,Schedule Temperature Setpoint,
595,Point>Setpoint>Temperature Setpoint,Supply Water Temperature Setpoint,Discharge Water Temperature Setpoint
596,Point>Setpoint>Temperature Setpoint>Cooling Temperature Setpoint,Auto Cooling Temperature Setpoint,
597,Point>Setpoint>Temperature Setpoint>Cooling Temperature Setpoint,Current Cooling Setpoint,
598,Point>Setpoint>Temperature Setpoint>Cooling Temperature Setpoint,Effective Cooling Temperature Setpoint,
599,Point>Setpoint>Temperature Setpoint>Cooling Temperature Setpoint,Unoccupied Cooling Temperature Setpoint,
600,Point>Setpoint>Temperature Setpoint>Cooling Temperature Setpoint,Occupied Cooling Temperature Setpoint,
601,Point>Setpoint>Temperature Setpoint,Discharge Air Temperature Cooling Setpoint,Supply Air Temperature Cooling Setpoint
602,Point>Setpoint>Temperature Setpoint,Discharge Air Temperature Heating Setpoint,Supply Air Temperature Heating Setpoint
603,Point>Setpoint>Temperature Setpoint,Economizer Differential Air Temperature Setpoint,
604,Point>Setpoint>Temperature Setpoint,Max Discharge Air Temperature Setpoint,Max Supply Air Temperature Setpoint
605,Point>Setpoint>Temperature Setpoint,Min Discharge Air Temperature Setpoint,Min Supply Air Temperature Setpoint
606,Point>Setpoint>Temperature Setpoint>Economizer Temperature Setpoint,Economizer Disable Differential Temperature Setpoint,
607,Point>Setpoint>Temperature Setpoint>Economizer Temperature Setpoint,Economizer Disable Fixed Temperature Setpoint,
608,Point>Setpoint>Temperature Setpoint>Economizer Temperature Setpoint,Economizer Enable Differential Temperature Setpoint,
609,Point>Setpoint>Temperature Setpoint>Economizer Temperature Setpoint,Economizer Enable Fixed Temperature Setpoint,
610,Point>Setpoint>Temperature Setpoint>Heating Temperature Setpoint,Effective Heating Temperature Setpoint,
611,Point>Setpoint>Temperature Setpoint>Heating Temperature Setpoint,Unoccupied Heating Temperature Setpoint,
612,Point>Setpoint>Temperature Setpoint>Heating Temperature Setpoint,Occupied Heating Temperature Setpoint,
613,Point>Setpoint>Temperature Setpoint>Supply Water Temperature Setpoint,Heat Exchanger Supply Water Temperature Setpoint,Heat Exchanger Discharge Water Temperature Setpoint
614,Point>Setpoint>Temperature Setpoint>Supply Water Temperature Setpoint>Hot Water Supply Temperature Setpoint,Domestic Hot Water Supply Temperature Setpoint,Domestic Hot Water Discharge Temperature Setpoint
615,Point>Setpoint>Temperature Setpoint>Supply Water Temperature Setpoint>Load Shed Supply Water Temperature Setpoint,Medium Temperature Hot Water Supply Temperature Load Shed Setpoint,Medium Temperature Hot Water Discharge Temperature Load Shed Setpoint
616,Point>Setpoint>Temperature Setpoint>Temperature High Limit Setpoint,Thumbwheel Temperature High Limit Setpoint,
617,Point>Setpoint>Temperature Setpoint>Temperature Low Limit Setpoint,Freeze Protect Temperature Low Limit Setpoint,
618,Point>Setpoint>Temperature Setpoint>Temperature Low Limit Setpoint,Thumbwheel Temperature Low Limit Setpoint,
619,Point>Setpoint>Temperature Setpoint>Zone Temperature Setpoint,Zone Cooling Temperature Setpoint,Zone Temperature High Setpoint
620,Point>Setpoint>Temperature Setpoint>Zone Temperature Setpoint,Zone Heating Temperature Setpoint,Zone Temperature Low Setpoint
621,Point>Setpoint>Tolerance Setpoint,Humidity Tolerance Setpoint,
622,Point>Setpoint>Tolerance Setpoint,Temperature Tolerance Setpoint,
623,Point>Status,Stages Status,
624,Point>Status,Hold Status,
625,Point>Status,Drive Ready Status,
626,Point>Status,Emergency Air Flow Status,
627,Point>Status,Emergency Generator Status,
628,Point>Status,Emergency Push Button Status,
629,Point>Status,Even Month Status,
630,Point>Status,Fan Run Request Status,
631,Point>Status,Fault Indicator Status,
632,Point>Status,Fault Status,
633,Point>Status,Filter Status,
634,Point>Status,Freeze Status,
635,Point>Status,Last Fault Code Status,
636,Point>Status,Load Shed Status,
637,Point>Status,Manual Auto Status,Hand Auto Status
638,Point>Status,Start Stop Status,On Off Status
639,Point>Status,System Shutdown Status,
640,Point>Status,Fan Status,
641,Point>Status,Turn Off Status,
642,Point>Status>Direction Status,Motor Direction Status,
643,Point>Status>Direction Status,Run Direction Status,
644,Point>Status>Disable Status,Exhaust Fan Disable Status,
645,Point>Status>Emergency Power Off Status,Emergency Power Off Activated By High Temperature Status,
646,Point>Status>Emergency Power Off Status,Emergency Power Off Activated By Leak Detection System Status,
647,Point>Status>Emergency Power Off Status,Emergency Power Off Enable Status,
648,Point>Status>Emergency Power Off Status,Emergency Power Off System Enable Status,
649,Point>Status>Enable Status,Chilled Water Pump Enable Status,
650,Point>Status>Enable Status,Heat Exchanger System Enable Status,
651,Point>Status>Enable Status,Pump Enable Status,
652,Point>Status>Enable Status,Run Enable Status,
653,Point>Status>Fan Status,Exhaust Fan Status,
654,Point>Status>Fan Status,Return Fan Status,
655,Point>Status>Fan Status,Supply Fan Status,Discharge Fan Status
656,Point>Status>Fan Status,Standby Fan Status,
657,Point>Status>Fault Status,Humidifier Fault Status,
658,Point>Status>Filter Status,Pre Filter Status,
659,Point>Status>Fire Control Panel LED Status,AHU Off Status LED,
660,Point>Status>Fire Control Panel LED Status,AHU On Status LED,
661,Point>Status>Fire Control Panel LED Status,Exhaust Fan Off Status LED,
662,Point>Status>Fire Control Panel LED Status,Exhaust Fan On Status LED,
663,Point>Status>Load Shed Status>Differential Pressure Load Shed Status,Chilled Water Differential Pressure Load Shed Reset Status,
664,Point>Status>Load Shed Status>Differential Pressure Load Shed Status,Chilled Water Differential Pressure Load Shed Status,
665,Point>Status>Load Shed Status>Differential Pressure Load Shed Status,Medium Temperature Hot Water Differential Pressure Load Shed Reset Status,
666,Point>Status>Load Shed Status>Differential Pressure Load Shed Status,Medium Temperature Hot Water Differential Pressure Load Shed Status,
667,Point>Status>Load Shed Status>Differential Pressure Load Shed Status,Medium Temperature Hot Water Supply Temperature Load Shed Status,Medium Temperature Hot Water Discharge Temperature Load Shed Status
668,Point>Status>Mode Status,Economizer Mode Status,
669,Point>Status>Mode Status,Economizer Status,
670,Point>Status>Mode Status,Occupied Mode Status,
671,Point>Status>Mode Status,System Mode Status,
672,Point>Status>Mode Status,VAV Box Operating Mode Status,
673,Point>Status>Mode Status,Vent Operating Mode Status,
674,Point>Status,Occupancy Status,
675,Point>Status>Occupancy Status,Temporary Occupancy Status,
676,Point>Status>On Off Status,Cooling On Off Status,
677,Point>Status>On Off Status,Dehumidification On Off Status,
678,Point>Status>On Off Status,EconCycle On Off Status,
679,Point>Status>On Off Status,Heating On Off Status,
680,Point>Status>On Off Status,Humidification On Off Status,
681,Point>Status>On Off Status,Standby Glycool Unit On Off Status,
682,Point>Status>On Off Status,Standby Unit On Off Status,
683,Point>Status>Overridden Status,Overridden Off Status,
684,Point>Status>Overridden Status,Overridden On Status,
685,Point>Status>Overridden Status,Exhaust Fan Overridden Off Status,
686,Point>Status>Overridden Status,Exhaust Fan Overridden On Status,
687,Point>Status>Pump Lead Lag Status,Chilled Water Pump Lead Lag Status,
688,Point>Status>Start Stop Status,Exhaust Fan Start Stop Status,
689,Point>Status>Start Stop Status,Fan Start Stop Status,
690,Point>Status>Start Stop Status,Motor Start Stop Status,
691,Point>Status>Start Stop Status,Pump Start Stop Status,
692,Point>Status>Start Stop Status,Pump Status,
693,Point>Status>Start Stop Status,Return Fan Start Stop Status,
694,Point>Status>Start Stop Status,Run Status,
695,Point>Status>Start Stop Status,Supply Fan Start Stop Status,Discharge Fan Start Stop Status
696,Point>Status>Start Stop Status>Pump Start Stop Status,Chilled Water Pump Start Stop Status,
697,Point>Status>Start Stop Status>Pump Status,Chilled Water Pump Status,
698,Point>Status>Start Stop Status>Pump Status,Hot Water Pump Status,
699,Point>Status>On Off Status,Locally On Off Status,
700,Point>Status>On Off Status,Remotely On Off Status,
701,Point>Status>Valve Status,Heat Exchanger Valve Status,
702,Point>Resource,Steam,
703,Point>Resource>Air,Discharge Air,
704,Point>Resource>Air,Mixed Air,
705,Point>Resource>Air,Outside Air,
706,Point>Resource>Air,Return Air,
707,Point>Resource>Water,Chilled Water,
708,Point>Resource>Water,Deionised Water,DI Water
709,Point>Resource>Water,Hot Water,
710,Point>Resource>Water>Hot Water,Domestic Hot Water,
711,Point>Resource>Water>Hot Water,High Temperature Hot Water,
712,Point>Resource>Water>Hot Water,Medium Temperature Hot Water,
